Team,SRS,Season,SRS_rank
1180,-30248497006973.39,1985,238.0
1181,-30248497006946.246,1985,5.0
1182,-30248497006971.598,1985,225.0
1183,-30248497006964.68,1985,146.0
1184,-30248497006965.688,1985,163.0
1185,-30248497006960.945,1985,99.0
1186,-30248497006973.0,1985,234.0
1187,-30248497006973.617,1985,240.0
1190,-30248497006974.44,1985,247.0
1191,-30248497006966.26,1985,172.0
1192,-30248497006967.68,1985,187.0
1193,-30248497006970.48,1985,211.0
1196,-30248497006953.055,1985,26.0
1197,-30248497006975.723,1985,257.0
1199,-30248497006955.477,1985,43.0
1200,-30248497006962.21,1985,118.0
1201,-30248497006960.984,1985,100.0
1202,-30248497006972.07,1985,228.0
1203,-30248497006961.477,1985,110.0
1204,-30248497006963.227,1985,128.0
1206,-30248497006961.37,1985,107.0
1207,-30248497006944.688,1985,1.0
1208,-30248497006948.27,1985,8.0
1209,-30248497006984.07,1985,278.0
1210,-30248497006949.09,1985,11.0
1211,-30248497006966.105,1985,169.0
1212,-30248497006980.895,1985,276.0
1215,-30248497006972.26,1985,230.0
1216,-30248497006975.21,1985,254.0
1217,-30248497006970.406,1985,210.0
1218,-30248497006967.707,1985,189.0
1220,-30248497006971.66,1985,226.0
1221,-30248497006971.38,1985,222.0
1222,-30248497006959.105,1985,77.0
1223,-30248497006964.168,1985,139.0
1224,-30248497006970.305,1985,209.0
1225,-30248497006970.66,1985,213.0
1226,-30248497006967.684,1985,188.0
1227,-30248497006971.242,1985,219.0
1228,-30248497006945.812,1985,3.0
1229,-30248497006955.83,1985,46.0
1231,-30248497006950.26,1985,15.0
1232,-30248497006961.504,1985,111.0
1233,-30248497006960.508,1985,93.0
1234,-30248497006948.098,1985,7.0
1235,-30248497006955.42,1985,41.0
1238,-30248497006973.234,1985,237.0
1239,-30248497006959.926,1985,87.0
1241,-30248497006965.36,1985,155.0
1242,-30248497006952.918,1985,25.0
1243,-30248497006959.91,1985,86.0
1245,-30248497006960.76,1985,98.0
1246,-30248497006953.574,1985,34.0
1247,-30248497006966.03,1985,168.0
1248,-30248497006970.277,1985,208.0
1249,-30248497006956.82,1985,59.0
1250,-30248497006975.312,1985,255.0
1253,-30248497006976.105,1985,261.0
1254,-30248497006969.91,1985,205.0
1256,-30248497006953.4,1985,31.0
1257,-30248497006956.156,1985,52.0
1258,-30248497006969.64,1985,203.0
1259,-30248497006969.773,1985,204.0
1260,-30248497006953.76,1985,35.0
1261,-30248497006952.14,1985,21.0
1263,-30248497006975.855,1985,258.0
1264,-30248497006970.61,1985,212.0
1265,-30248497006967.41,1985,184.0
1266,-30248497006957.203,1985,62.0
1267,-30248497006962.062,1985,114.0
1268,-30248497006950.83,1985,17.0
1269,-30248497006967.125,1985,182.0
1270,-30248497006962.19,1985,117.0
1271,-30248497006989.094,1985,280.0
1272,-30248497006948.49,1985,9.0
1273,-30248497006962.68,1985,124.0
1275,-30248497006957.047,1985,60.0
1276,-30248497006945.594,1985,2.0
1277,-30248497006950.39,1985,16.0
1278,-30248497006959.215,1985,78.0
1279,-30248497006964.83,1985,147.0
1280,-30248497006955.77,1985,44.0
1281,-30248497006957.555,1985,64.0
1283,-30248497006965.52,1985,158.0
1284,-30248497006974.25,1985,245.0
1285,-30248497006961.047,1985,103.0
1286,-30248497006966.203,1985,171.0
1287,-30248497006975.445,1985,256.0
1288,-30248497006991.426,1985,281.0
1290,-30248497006963.93,1985,136.0
1292,-30248497006965.68,1985,162.0
1293,-30248497006960.984,1985,100.0
1296,-30248497006966.977,1985,180.0
1298,-30248497006956.773,1985,58.0
1299,-30248497006968.92,1985,201.0
1301,-30248497006950.137,1985,14.0
1304,-30248497006957.383,1985,63.0
1305,-30248497006960.15,1985,89.0
1306,-30248497006976.895,1985,262.0
1307,-30248497006962.508,1985,122.0
1308,-30248497006971.066,1985,217.0
1309,-30248497006967.85,1985,192.0
1310,-30248497006968.547,1985,196.0
1311,-30248497006966.273,1985,173.0
1314,-30248497006948.766,1985,10.0
1317,-30248497006977.383,1985,263.0
1318,-30248497006961.223,1985,104.0
1319,-30248497006965.562,1985,160.0
1320,-30248497006973.1,1985,235.0
1321,-30248497006964.297,1985,142.0
1322,-30248497006979.48,1985,271.0
1323,-30248497006954.42,1985,37.0
1325,-30248497006958.117,1985,69.0
1326,-30248497006952.047,1985,20.0
1327,-30248497006971.32,1985,220.0
1328,-30248497006945.957,1985,4.0
1329,-30248497006959.953,1985,88.0
1330,-30248497006956.707,1985,57.0
1331,-30248497006959.547,1985,81.0
1332,-30248497006960.547,1985,94.0
1333,-30248497006956.03,1985,50.0
1334,-30248497006974.445,1985,248.0
1335,-30248497006967.58,1985,185.0
1336,-30248497006971.4,1985,223.0
1337,-30248497006960.484,1985,92.0
1338,-30248497006957.08,1985,61.0
1339,-30248497006968.324,1985,194.0
1341,-30248497006977.973,1985,266.0
1343,-30248497006971.37,1985,221.0
1344,-30248497006965.062,1985,152.0
1345,-30248497006951.484,1985,19.0
1347,-30248497006971.676,1985,227.0
1348,-30248497006972.086,1985,229.0
1349,-30248497006965.41,1985,156.0
1350,-30248497006958.35,1985,72.0
1351,-30248497006974.016,1985,243.0
1352,-30248497006973.54,1985,239.0
1353,-30248497006963.62,1985,132.0
1354,-30248497006974.89,1985,253.0
1356,-30248497006960.434,1985,91.0
1359,-30248497006966.43,1985,174.0
1360,-30248497006966.984,1985,181.0
1361,-30248497006958.18,1985,71.0
1363,-30248497006962.355,1985,120.0
1364,-30248497006967.613,1985,186.0
1365,-30248497006957.707,1985,66.0
1368,-30248497006963.86,1985,134.0
1371,-30248497006963.867,1985,135.0
1373,-30248497006965.47,1985,157.0
1374,-30248497006953.2,1985,28.0
1375,-30248497006958.5,1985,75.0
1376,-30248497006962.13,1985,116.0
1378,-30248497006958.684,1985,76.0
1379,-30248497006962.3,1985,119.0
1380,-30248497006961.406,1985,108.0
1382,-30248497006964.4,1985,143.0
1383,-30248497006979.78,1985,272.0
1384,-30248497006973.723,1985,241.0
1385,-30248497006946.977,1985,6.0
1386,-30248497006959.363,1985,79.0
1387,-30248497006963.65,1985,133.0
1388,-30248497006962.656,1985,123.0
1389,-30248497006966.51,1985,177.0
1390,-30248497006965.547,1985,159.0
1391,-30248497006970.9,1985,215.0
1393,-30248497006952.695,1985,24.0
1395,-30248497006959.68,1985,82.0
1396,-30248497006955.812,1985,45.0
1397,-30248497006955.875,1985,47.0
1398,-30248497006974.645,1985,251.0
1399,-30248497006961.965,1985,112.0
1400,-30248497006960.72,1985,97.0
1401,-30248497006956.418,1985,56.0
1402,-30248497006978.836,1985,268.0
1403,-30248497006954.535,1985,38.0
1405,-30248497006961.465,1985,109.0
1406,-30248497006977.594,1985,264.0
1408,-30248497006958.367,1985,73.0
1409,-30248497006953.453,1985,33.0
1410,-30248497006968.98,1985,202.0
1411,-30248497006966.438,1985,176.0
1412,-30248497006956.227,1985,54.0
1414,-30248497006967.79,1985,191.0
1416,-30248497006976.0,1985,260.0
1417,-30248497006956.01,1985,49.0
1418,-30248497006958.14,1985,70.0
1419,-30248497006963.383,1985,130.0
1423,-30248497006970.824,1985,214.0
1424,-30248497006955.145,1985,40.0
1425,-30248497006956.15,1985,51.0
1426,-30248497006974.414,1985,246.0
1427,-30248497006965.75,1985,164.0
1428,-30248497006965.02,1985,151.0
1429,-30248497006964.152,1985,138.0
1431,-30248497006957.598,1985,65.0
1432,-30248497006968.438,1985,195.0
1433,-30248497006950.074,1985,13.0
1434,-30248497006978.15,1985,267.0
1435,-30248497006961.24,1985,105.0
1436,-30248497006979.92,1985,273.0
1437,-30248497006953.188,1985,27.0
1438,-30248497006956.27,1985,55.0
1439,-30248497006949.883,1985,12.0
1440,-30248497006968.617,1985,197.0
1441,-30248497006968.203,1985,193.0
1442,-30248497006970.016,1985,206.0
1443,-30248497006958.465,1985,74.0
1444,-30248497006965.35,1985,154.0
1446,-30248497006965.94,1985,166.0
1447,-30248497006975.863,1985,259.0
1448,-30248497006954.27,1985,36.0
1449,-30248497006952.24,1985,22.0
1450,-30248497006963.113,1985,127.0
1451,-30248497006957.832,1985,68.0
1452,-30248497006959.46,1985,80.0
1453,-30248497006974.07,1985,244.0
1455,-30248497006955.46,1985,42.0
1456,-30248497006964.95,1985,150.0
1458,-30248497006961.004,1985,102.0
1461,-30248497006966.02,1985,167.0
1462,-30248497006959.797,1985,84.0
1463,-30248497006974.445,1985,248.0
1464,-30248497006963.56,1985,131.0
1102,-9077924377691.053,1986,221.0
1103,-9077924377682.248,1986,127.0
1104,-9077924377667.775,1986,19.0
1106,-9077924377695.043,1986,250.0
1108,-9077924377687.854,1986,179.0
1109,-9077924377701.145,1986,277.0
1110,-9077924377689.09,1986,202.0
1111,-9077924377689.777,1986,210.0
1112,-9077924377674.18,1986,47.0
1113,-9077924377682.096,1986,123.0
1114,-9077924377681.93,1986,121.0
1116,-9077924377682.482,1986,130.0
1117,-9077924377681.46,1986,118.0
1119,-9077924377694.68,1986,246.0
1120,-9077924377669.615,1986,27.0
1121,-9077924377697.533,1986,261.0
1122,-9077924377688.39,1986,187.0
1123,-9077924377681.799,1986,119.0
1124,-9077924377687.242,1986,171.0
1126,-9077924377702.607,1986,281.0
1129,-9077924377688.617,1986,194.0
1130,-9077924377676.83,1986,63.0
1131,-9077924377682.209,1986,126.0
1132,-9077924377692.414,1986,233.0
1133,-9077924377673.684,1986,45.0
1134,-9077924377699.791,1986,270.0
1135,-9077924377690.203,1986,213.0
1137,-9077924377694.023,1986,243.0
1139,-9077924377689.043,1986,201.0
1140,-9077924377680.588,1986,102.0
1141,-9077924377687.01,1986,167.0
1143,-9077924377677.625,1986,69.0
1144,-9077924377698.336,1986,264.0
1145,-9077924377684.168,1986,146.0
1147,-9077924377691.133,1986,223.0
1149,-9077924377689.557,1986,208.0
1150,-9077924377685.885,1986,152.0
1151,-9077924377684.172,1986,147.0
1152,-9077924377682.092,1986,122.0
1153,-9077924377678.385,1986,74.0
1154,-9077924377693.13,1986,237.0
1155,-9077924377671.5,1986,32.0
1156,-9077924377668.986,1986,23.0
1159,-9077924377699.598,1986,268.0
1160,-9077924377684.393,1986,148.0
1161,-9077924377686.344,1986,158.0
1162,-9077924377687.633,1986,176.0
1163,-9077924377680.227,1986,96.0
1164,-9077924377700.55,1986,275.0
1165,-9077924377687.707,1986,177.0
1166,-9077924377684.053,1986,143.0
1168,-9077924377680.865,1986,106.0
1171,-9077924377695.82,1986,255.0
1172,-9077924377682.344,1986,128.0
1173,-9077924377677.377,1986,66.0
1174,-9077924377694.736,1986,247.0
1175,-9077924377699.86,1986,272.0
1177,-9077924377673.951,1986,46.0
1178,-9077924377683.385,1986,137.0
1179,-9077924377679.918,1986,93.0
1180,-9077924377689.625,1986,209.0
1181,-9077924377662.008,1986,5.0
1182,-9077924377682.951,1986,134.0
1183,-9077924377683.168,1986,136.0
1184,-9077924377688.172,1986,182.0
1185,-9077924377688.611,1986,192.0
1186,-9077924377683.086,1986,135.0
1187,-9077924377688.654,1986,195.0
1190,-9077924377688.756,1986,199.0
1191,-9077924377688.555,1986,190.0
1192,-9077924377687.545,1986,173.0
1193,-9077924377686.312,1986,157.0
1196,-9077924377673.117,1986,41.0
1197,-9077924377694.738,1986,248.0
1199,-9077924377681.195,1986,113.0
1200,-9077924377686.95,1986,165.0
1201,-9077924377682.709,1986,131.0
1202,-9077924377691.287,1986,226.0
1203,-9077924377685.928,1986,154.0
1204,-9077924377688.607,1986,191.0
1206,-9077924377679.697,1986,88.0
1207,-9077924377664.854,1986,12.0
1208,-9077924377669.137,1986,24.0
1209,-9077924377697.27,1986,260.0
1210,-9077924377660.701,1986,2.0
1211,-9077924377686.113,1986,155.0
1212,-9077924377699.027,1986,267.0
1215,-9077924377688.914,1986,200.0
1216,-9077924377687.809,1986,178.0
1217,-9077924377701.979,1986,279.0
1218,-9077924377693.979,1986,242.0
1220,-9077924377691.416,1986,227.0
1221,-9077924377693.17,1986,239.0
1222,-9077924377679.684,1986,87.0
1223,-9077924377691.852,1986,232.0
1224,-9077924377690.385,1986,215.0
1225,-9077924377690.36,1986,214.0
1226,-9077924377686.49,1986,159.0
1227,-9077924377688.203,1986,183.0
1228,-9077924377663.873,1986,8.0
1229,-9077924377681.09,1986,112.0
1231,-9077924377665.549,1986,14.0
1232,-9077924377682.832,1986,132.0
1233,-9077924377689.48,1986,206.0
1234,-9077924377667.68,1986,18.0
1235,-9077924377669.162,1986,25.0
1238,-9077924377691.473,1986,229.0
1239,-9077924377672.645,1986,37.0
1241,-9077924377687.945,1986,181.0
1242,-9077924377661.383,1986,3.0
1243,-9077924377673.457,1986,43.0
1245,-9077924377685.826,1986,151.0
1246,-9077924377662.562,1986,7.0
1247,-9077924377683.834,1986,141.0
1248,-9077924377692.926,1986,236.0
1249,-9077924377679.035,1986,80.0
1250,-9077924377691.111,1986,222.0
1253,-9077924377688.447,1986,188.0
1254,-9077924377700.09,1986,273.0
1256,-9077924377679.61,1986,85.0
1257,-9077924377664.77,1986,10.0
1258,-9077924377683.656,1986,139.0
1259,-9077924377690.879,1986,219.0
1260,-9077924377680.473,1986,99.0
1261,-9077924377669.652,1986,29.0
1263,-9077924377694.031,1986,244.0
1264,-9077924377712.13,1986,283.0
1265,-9077924377689.107,1986,203.0
1266,-9077924377674.746,1986,52.0
1267,-9077924377683.727,1986,140.0
1268,-9077924377668.03,1986,20.0
1269,-9077924377691.2,1986,225.0
1270,-9077924377679.564,1986,84.0
1271,-9077924377704.742,1986,282.0
1272,-9077924377664.852,1986,11.0
1273,-9077924377690.742,1986,218.0
1274,-9077924377690.518,1986,217.0
1275,-9077924377675.285,1986,54.0
1276,-9077924377661.986,1986,4.0
1277,-9077924377664.281,1986,9.0
1278,-9077924377676.72,1986,62.0
1279,-9077924377678.594,1986,75.0
1280,-9077924377679.094,1986,82.0
1281,-9077924377671.73,1986,33.0
1283,-9077924377680.797,1986,105.0
1284,-9077924377696.945,1986,259.0
1285,-9077924377679.656,1986,86.0
1286,-9077924377682.84,1986,133.0
1287,-9077924377693.94,1986,241.0
1288,-9077924377702.152,1986,280.0
1290,-9077924377687.004,1986,166.0
1292,-9077924377678.256,1986,73.0
1293,-9077924377686.844,1986,163.0
1296,-9077924377685.129,1986,150.0
1298,-9077924377669.418,1986,26.0
1299,-9077924377688.613,1986,193.0
1301,-9077924377667.223,1986,17.0
1304,-9077924377672.488,1986,36.0
1305,-9077924377687.094,1986,169.0
1306,-9077924377693.312,1986,240.0
1307,-9077924377680.549,1986,101.0
1308,-9077924377679.11,1986,83.0
1309,-9077924377677.734,1986,71.0
1310,-9077924377689.207,1986,204.0
1311,-9077924377696.277,1986,256.0
1314,-9077924377656.941,1986,1.0
1317,-9077924377687.176,1986,170.0
1318,-9077924377678.953,1986,79.0
1319,-9077924377679.895,1986,91.0
1320,-9077924377689.994,1986,211.0
1321,-9077924377687.451,1986,172.0
1322,-9077924377686.527,1986,160.0
1323,-9077924377665.314,1986,13.0
1325,-9077924377679.941,1986,94.0
1326,-9077924377671.742,1986,34.0
1328,-9077924377666.225,1986,15.0
1329,-9077924377676.06,1986,59.0
1330,-9077924377673.06,1986,40.0
1331,-9077924377684.145,1986,145.0
1332,-9077924377677.543,1986,67.0
1333,-9077924377680.64,1986,104.0
1334,-9077924377682.453,1986,129.0
1335,-9077924377686.863,1986,164.0
1336,-9077924377688.229,1986,184.0
1337,-9077924377675.46,1986,57.0
1338,-9077924377671.488,1986,31.0
1339,-9077924377688.705,1986,197.0
1341,-9077924377701.598,1986,278.0
1343,-9077924377690.197,1986,212.0
1344,-9077924377675.902,1986,58.0
1345,-9077924377668.098,1986,21.0
1347,-9077924377692.611,1986,234.0
1348,-9077924377688.748,1986,198.0
1349,-9077924377688.297,1986,186.0
1350,-9077924377674.389,1986,49.0
1351,-9077924377697.717,1986,263.0
1352,-9077924377696.555,1986,257.0
1353,-9077924377691.475,1986,230.0
1354,-9077924377699.838,1986,271.0
1356,-9077924377689.363,1986,205.0
1359,-9077924377691.666,1986,231.0
1360,-9077924377678.857,1986,78.0
1361,-9077924377684.422,1986,149.0
1362,-9077924377695.715,1986,254.0
1363,-9077924377681.195,1986,113.0
1364,-9077924377683.605,1986,138.0
1365,-9077924377688.531,1986,189.0
1368,-9077924377687.62,1986,175.0
1371,-9077924377680.143,1986,95.0
1373,-9077924377686.209,1986,156.0
1374,-9077924377678.842,1986,77.0
1375,-9077924377681.285,1986,116.0
1376,-9077924377679.07,1986,81.0
1378,-9077924377679.709,1986,89.0
1379,-9077924377677.828,1986,72.0
1380,-9077924377681.385,1986,117.0
1382,-9077924377684.086,1986,144.0
1383,-9077924377700.492,1986,274.0
1384,-9077924377699.652,1986,269.0
1385,-9077924377666.258,1986,16.0
1386,-9077924377674.719,1986,51.0
1387,-9077924377680.94,1986,109.0
1388,-9077924377695.107,1986,252.0
1389,-9077924377686.734,1986,161.0
1390,-9077924377681.012,1986,110.0
1391,-9077924377691.191,1986,224.0
1393,-9077924377662.19,1986,6.0
1395,-9077924377673.242,1986,42.0
1396,-9077924377672.697,1986,38.0
1397,-9077924377675.447,1986,55.0
1398,-9077924377692.75,1986,235.0
1399,-9077924377686.838,1986,162.0
1400,-9077924377676.312,1986,60.0
1401,-9077924377677.17,1986,65.0
1402,-9077924377701.086,1986,276.0
1403,-9077924377680.543,1986,100.0
1405,-9077924377688.682,1986,196.0
1406,-9077924377694.84,1986,249.0
1409,-9077924377673.559,1986,44.0
1410,-9077924377680.639,1986,103.0
1411,-9077924377698.705,1986,266.0
1412,-9077924377670.174,1986,30.0
1414,-9077924377679.887,1986,90.0
1416,-9077924377697.537,1986,262.0
1417,-9077924377677.676,1986,70.0
1418,-9077924377680.275,1986,97.0
1419,-9077924377677.615,1986,68.0
1423,-9077924377682.174,1986,125.0
1424,-9077924377669.648,1986,28.0
1425,-9077924377681.05,1986,111.0
1426,-9077924377689.533,1986,207.0
1427,-9077924377698.336,1986,264.0
1428,-9077924377680.465,1986,98.0
1429,-9077924377683.965,1986,142.0
1431,-9077924377676.445,1986,61.0
1432,-9077924377696.629,1986,258.0
1433,-9077924377677.123,1986,64.0
1434,-9077924377695.395,1986,253.0
1435,-9077924377678.797,1986,76.0
1436,-9077924377695.086,1986,251.0
1437,-9077924377674.48,1986,50.0
1438,-9077924377668.691,1986,22.0
1439,-9077924377671.854,1986,35.0
1440,-9077924377690.414,1986,216.0
1441,-9077924377690.918,1986,220.0
1442,-9077924377687.895,1986,180.0
1443,-9077924377672.879,1986,39.0
1444,-9077924377687.035,1986,168.0
1446,-9077924377685.906,1986,153.0
1447,-9077924377693.166,1986,238.0
1448,-9077924377682.133,1986,124.0
1449,-9077924377675.459,1986,56.0
1450,-9077924377680.87,1986,107.0
1451,-9077924377681.89,1986,120.0
1452,-9077924377674.78,1986,53.0
1453,-9077924377694.479,1986,245.0
1455,-9077924377681.21,1986,115.0
1456,-9077924377688.25,1986,185.0
1458,-9077924377679.906,1986,92.0
1461,-9077924377680.926,1986,108.0
1462,-9077924377674.385,1986,48.0
1463,-9077924377691.441,1986,228.0
1464,-9077924377687.562,1986,174.0
1102,-7106498104228.483,1987,192.0
1103,-7106498104221.538,1987,106.0
1104,-7106498104205.137,1987,5.0
1106,-7106498104234.358,1987,248.0
1108,-7106498104239.264,1987,274.0
1109,-7106498104240.94,1987,282.0
1110,-7106498104228.843,1987,196.0
1111,-7106498104236.032,1987,258.0
1112,-7106498104210.973,1987,19.0
1113,-7106498104220.138,1987,88.0
1114,-7106498104226.379,1987,162.0
1116,-7106498104214.687,1987,43.0
1117,-7106498104219.218,1987,77.0
1118,-7106498104243.62,1987,287.0
1119,-7106498104228.402,1987,189.0
1120,-7106498104210.699,1987,16.0
1121,-7106498104240.805,1987,280.0
1122,-7106498104221.39,1987,104.0
1123,-7106498104229.926,1987,209.0
1124,-7106498104219.285,1987,79.0
1126,-7106498104240.833,1987,281.0
1129,-7106498104217.383,1987,59.0
1130,-7106498104224.302,1987,131.0
1131,-7106498104222.604,1987,112.0
1132,-7106498104228.419,1987,190.0
1133,-7106498104217.034,1987,58.0
1134,-7106498104238.619,1987,272.0
1135,-7106498104235.228,1987,254.0
1137,-7106498104229.055,1987,199.0
1139,-7106498104228.229,1987,187.0
1140,-7106498104215.696,1987,49.0
1141,-7106498104216.632,1987,53.0
1143,-7106498104217.837,1987,61.0
1144,-7106498104231.945,1987,230.0
1145,-7106498104226.947,1987,171.0
1147,-7106498104236.238,1987,259.0
1148,-7106498104238.061,1987,269.0
1149,-7106498104223.93,1987,123.0
1150,-7106498104221.054,1987,98.0
1151,-7106498104224.73,1987,137.0
1152,-7106498104229.465,1987,205.0
1153,-7106498104226.046,1987,156.0
1154,-7106498104229.268,1987,203.0
1155,-7106498104207.944,1987,10.0
1156,-7106498104218.145,1987,66.0
1157,-7106498104232.581,1987,235.0
1159,-7106498104241.219,1987,283.0
1160,-7106498104223.973,1987,125.0
1161,-7106498104226.735,1987,169.0
1162,-7106498104231.326,1987,222.0
1163,-7106498104227.792,1987,180.0
1164,-7106498104241.805,1987,285.0
1165,-7106498104225.953,1987,153.0
1166,-7106498104225.992,1987,154.0
1168,-7106498104216.5,1987,52.0
1171,-7106498104230.499,1987,214.0
1172,-7106498104223.208,1987,115.0
1173,-7106498104224.674,1987,135.0
1174,-7106498104236.414,1987,260.0
1175,-7106498104249.5,1987,289.0
1177,-7106498104208.808,1987,11.0
1178,-7106498104234.522,1987,249.0
1179,-7106498104220.277,1987,92.0
1180,-7106498104231.884,1987,229.0
1181,-7106498104207.82,1987,9.0
1182,-7106498104226.525,1987,166.0
1183,-7106498104234.59,1987,250.0
1184,-7106498104221.728,1987,108.0
1185,-7106498104223.796,1987,121.0
1186,-7106498104239.801,1987,279.0
1187,-7106498104226.907,1987,170.0
1190,-7106498104239.311,1987,276.0
1191,-7106498104225.842,1987,151.0
1192,-7106498104225.907,1987,152.0
1193,-7106498104228.063,1987,184.0
1196,-7106498104205.007,1987,4.0
1197,-7106498104231.27,1987,221.0
1199,-7106498104216.911,1987,56.0
1200,-7106498104226.073,1987,158.0
1201,-7106498104228.458,1987,191.0
1202,-7106498104226.451,1987,165.0
1203,-7106498104226.417,1987,163.0
1204,-7106498104227.931,1987,181.0
1206,-7106498104223.405,1987,118.0
1207,-7106498104209.174,1987,13.0
1208,-7106498104213.613,1987,33.0
1209,-7106498104232.292,1987,231.0
1210,-7106498104213.037,1987,31.0
1211,-7106498104221.399,1987,105.0
1212,-7106498104233.778,1987,247.0
1215,-7106498104231.64,1987,227.0
1216,-7106498104229.887,1987,208.0
1217,-7106498104231.576,1987,225.0
1218,-7106498104230.713,1987,217.0
1220,-7106498104238.153,1987,270.0
1221,-7106498104233.657,1987,243.0
1222,-7106498104212.976,1987,30.0
1223,-7106498104225.812,1987,150.0
1224,-7106498104227.185,1987,173.0
1225,-7106498104227.283,1987,174.0
1226,-7106498104224.861,1987,141.0
1227,-7106498104228.845,1987,197.0
1228,-7106498104206.745,1987,8.0
1229,-7106498104218.676,1987,72.0
1231,-7106498104205.344,1987,6.0
1232,-7106498104229.583,1987,207.0
1233,-7106498104228.014,1987,182.0
1234,-7106498104204.497,1987,3.0
1235,-7106498104218.937,1987,75.0
1238,-7106498104231.33,1987,223.0
1239,-7106498104217.398,1987,60.0
1241,-7106498104224.112,1987,127.0
1242,-7106498104211.996,1987,27.0
1243,-7106498104213.831,1987,37.0
1245,-7106498104221.296,1987,103.0
1246,-7106498104213.752,1987,35.0
1247,-7106498104218.904,1987,74.0
1248,-7106498104227.674,1987,178.0
1249,-7106498104224.161,1987,129.0
1250,-7106498104231.441,1987,224.0
1253,-7106498104223.9375,1987,124.0
1254,-7106498104238.045,1987,268.0
1256,-7106498104216.855,1987,54.0
1257,-7106498104216.948,1987,57.0
1258,-7106498104229.133,1987,201.0
1259,-7106498104232.887,1987,238.0
1260,-7106498104221.849,1987,109.0
1261,-7106498104214.652,1987,41.0
1263,-7106498104237.596,1987,264.0
1264,-7106498104238.849,1987,273.0
1265,-7106498104227.558,1987,176.0
1266,-7106498104218.604,1987,71.0
1267,-7106498104220.507,1987,93.0
1268,-7106498104220.693,1987,95.0
1269,-7106498104228.088,1987,185.0
1270,-7106498104223.117,1987,114.0
1271,-7106498104250.0205,1987,290.0
1272,-7106498104211.435,1987,22.0
1273,-7106498104232.637,1987,236.0
1274,-7106498104228.531,1987,193.0
1275,-7106498104229.178,1987,202.0
1276,-7106498104210.891,1987,17.0
1277,-7106498104218.574,1987,70.0
1278,-7106498104224.155,1987,128.0
1279,-7106498104214.683,1987,42.0
1280,-7106498104226.04,1987,155.0
1281,-7106498104213.729,1987,34.0
1283,-7106498104214.896,1987,44.0
1284,-7106498104239.372,1987,277.0
1285,-7106498104224.755,1987,138.0
1286,-7106498104221.055,1987,99.0
1287,-7106498104226.059,1987,157.0
1288,-7106498104241.677,1987,284.0
1290,-7106498104233.732,1987,246.0
1292,-7106498104219.463,1987,81.0
1293,-7106498104229.576,1987,206.0
1296,-7106498104232.515,1987,233.0
1298,-7106498104214.303,1987,39.0
1299,-7106498104223.308,1987,117.0
1301,-7106498104213.826,1987,36.0
1304,-7106498104223.66,1987,120.0
1305,-7106498104225.417,1987,147.0
1306,-7106498104239.295,1987,275.0
1307,-7106498104221.244,1987,102.0
1308,-7106498104220.7295,1987,96.0
1309,-7106498104212.834,1987,29.0
1310,-7106498104219.479,1987,82.0
1311,-7106498104237.192,1987,263.0
1314,-7106498104200.092,1987,1.0
